speciesName,status,fbSpecCode,validName,class,order,family,genus,commonName,commonSpecies,Species,Fresh,Brack,SynOC,SynGenus,SynSpecies,Author,Year,SynonymsRef,SyncodeValid,LastEpithet,Comment,Etymology,ETYFish,ETYFishURL,Valid,ValidTax,Synonymy,SynonymyDetail,Combination,OriginalPub,Misspelling,MisspellingDetail,NounApposition,Protonym,Basionym,StatusOrder,RankSearch,CommentTax,GSDOriginal,GSDStatus,GSDVersionDate,GSDExpert,CAS_SPC,CAS_REF_NO,CoL,ION_ID,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,synonym_base,synonym_sub,fishbaseValid
Acipenser sturio,accepted name,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,29593,Acipenser,sturio,"Linnaeus, 1758",1758,3397,NA,sturio,NA,NA,NA,NA,1,1,senior synonym,NA,original combination,1,0,NA,0,0,1,4996,1,NA,1,1,2021-02-01T00:00:00Z,303,9774,2787,1,NA,2,1991-01-18T00:00:00Z,303,2014-05-06T00:00:00Z,1,1994-02-03T00:00:00Z,NA,Acipenser sturio,Acipenser sturio sturio,Acipenser sturio
Accipenser attilus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64012,Accipenser,attilus,"Rafinesque, 1820",1820,13696,NA,attilus,NA,NA,NA,NA,0,0,other,nomen nudum,original combination,0,0,NA,0,0,0,5001,255,NA,1,1,2021-02-01T00:00:00Z,303,27403,5088,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Accipenser attilus,Accipenser attilus attilus,Acipenser sturio
Accipenser sturio,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,29593,Accipenser,sturio,"Linnaeus, 1758",1758,3397,NA,sturio,Misspelling of the generic name.,NA,NA,NA,0,0,senior synonym,NA,original combination,0,1,ISSgen,0,0,0,4997,255,"GSD status set up by query, Nicolas, 17/10/12. Record previously modified by encoder no. 303 on  10/02/06.",0,9,NA,NA,9774,2787,1,NA,1,1997-04-01T00:00:00Z,303,2012-10-17T00:00:00Z,NA,NA,NA,Accipenser sturio,Accipenser sturio sturio,Acipenser sturio
Acipenser attilus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64014,Acipenser,attilus,"Gray, 1851",1851,13696,NA,attilus,Uneeded replacement name. As <i>Accipenser</i> from Ref. 12965.,NA,NA,NA,0,0,junior synonym,unneeded replacement name,original combination,0,0,NA,0,0,0,5003,4,NA,1,1,2021-02-01T00:00:00Z,303,64243,4939,1,NA,1,1998-01-06T00:00:00Z,303,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser attilus,Acipenser attilus attilus,Acipenser sturio
Acipenser ducissae,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64020,Acipenser,ducissae,"Duméril, 1870",1870,13696,NA,ducissae,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5011,4,Synonym of <i>Acipenser huso</i> Linnaeus 1758 in CoF 1997 (Ref. 12965).,1,1,2021-02-01T00:00:00Z,303,27462,1147,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser ducissae,Acipenser ducissae ducissae,Acipenser sturio
Acipenser europaeus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64024,Acipenser,europaeus,"Brusina, 1902",1902,13696,NA,europaeus,Not available.,NA,NA,NA,0,0,other,nomen nudum,original combination,1,0,NA,0,0,1,5016,255,"To check:  Nicolas:  Spelling in original, spelled europeus in CofF.",1,1,2021-02-01T00:00:00Z,303,27450,17292,1,NA,1,1998-01-06T00:00:00Z,303,2013-07-02T00:00:00Z,NA,NA,NA,Acipenser europaeus,Acipenser europaeus europaeus,Acipenser sturio
Acipenser fitzingeri,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,157295,Acipenser,fitzingeri,"Duméril, 1870",1870,13696,NA,fitzingeri,Originally spelled as <i>fitzingerii</i>.,NA,NA,NA,0,0,junior synonym,NA,original combination,0,1,ISSsp,0,0,0,5010,255,"GSD status set up by query, Nicolas, 17/10/12. Record previously modified by encoder no. 10 on  31/08/06.",0,9,NA,NA,27460,1147,1,NA,1,1998-01-06T00:00:00Z,303,2012-10-17T00:00:00Z,NA,NA,NA,Acipenser fitzingeri,Acipenser fitzingeri fitzingeri,Acipenser sturio
Acipenser fitzingerii,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,157295,Acipenser,fitzingerii,"Duméril, 1870",1870,13696,NA,fitzingerii,ex Valenciennes (Ref. 56787).  Subgenus:  <i>Huso</i>.,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5009,4,NA,1,1,2021-02-01T00:00:00Z,303,27460,1147,1,NA,10,2006-08-31T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser fitzingerii,Acipenser fitzingerii fitzingerii,Acipenser sturio
Acipenser hospitus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64016,Acipenser,hospitus,"Krøyer, 1852",1852,13696,NA,hospitus,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5004,4,NA,1,1,2014-05-19T00:00:00Z,303,27454,18437,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser hospitus,Acipenser hospitus hospitus,Acipenser sturio
Acipenser laevissimus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,163326,Acipenser,laevissimus,"Duméril, 1870",1870,81932,NA,laevissimus,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5015,4,NA,1,1,2021-02-01T00:00:00Z,303,60569,1147,1,NA,14,2009-12-07T00:00:00Z,NA,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser laevissimus,Acipenser laevissimus laevissimus,Acipenser sturio
Acipenser latirostris,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64013,Acipenser,latirostris,"Parnell, 1831-37",1837,13696,NA,latirostris,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,1,0,NA,0,0,1,5002,4,To check:  Nicolas:  Author date CofF (Ref. 81932).,1,1,2021-02-01T00:00:00Z,303,27453,18519,1,NA,1,1998-01-06T00:00:00Z,303,2011-06-15T00:00:00Z,NA,NA,NA,Acipenser latirostris,Acipenser latirostris latirostris,Acipenser sturio
Acipenser milberti,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,163327,Acipenser,milberti,"Duméril, 1870",1870,81932,NA,milberti,Subgenus:  <i>Huso</i>.,NA,NA,NA,0,0,junior synonym,NA,original combination,1,0,NA,0,0,1,5008,2,NA,1,1,2014-05-19T00:00:00Z,303,27416,1147,1,NA,14,2009-12-07T00:00:00Z,NA,2020-04-24T00:00:00Z,NA,NA,NA,Acipenser milberti,Acipenser milberti milberti,Acipenser sturio
Acipenser nehelae,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64021,Acipenser,nehelae,"Duméril, 1870",1870,13696,NA,nehelae,Subgenus:  <i>Huso</i>.,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5012,4,Synonym of <i>Huso huso</i> (Linnaeus 1758) in Ref. 12965.,1,1,2021-02-01T00:00:00Z,303,27463,1147,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser nehelae,Acipenser nehelae nehelae,Acipenser sturio
Acipenser podapos,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64022,Acipenser,podapos,"Duméril, 1870",1870,13696,NA,podapos,Subgenus:  <i>Huso</i>.,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5013,4,Synonym of <i>Huso huso</i> (Linnaeus 1758) from Ref. 12965.,1,1,2021-02-01T00:00:00Z,303,27464,1147,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser podapos,Acipenser podapos podapos,Acipenser sturio
Acipenser stureio,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,29593,Acipenser,stureio,"Linnaeus, 1758",1758,33971,NA,stureio,Misspelling in index p.109 (Ref. 33971).,NA,NA,NA,0,0,senior synonym,NA,original combination,0,1,ISSsp,0,0,0,4998,NA,NA,0,9,NA,NA,9774,2787,0,NA,303,2014-05-06T00:00:00Z,NA,2014-05-06T00:00:00Z,NA,NA,NA,Acipenser stureio,Acipenser stureio stureio,Acipenser sturio
Acipenser sturioides,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64017,Acipenser,sturioides,"Malm, 1861",1861,13696,NA,sturioides,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5006,4,NA,1,1,2021-02-01T00:00:00Z,303,27458,17594,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser sturioides,Acipenser sturioides sturioides,Acipenser sturio
Acipenser thompsonii,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,NA,Acipenser,thompsonii,"Ball, 1856",1856,13696,NA,thompsonii,In Thompson.  Not available.,NA,NA,NA,0,0,other,NA,original combination,0,0,NA,0,0,0,5005,255,To check:  Nicolas:  Original to find for CofF.  As <i>thompsoni</i> in Ref. 12965.,0,9,NA,NA,27456,4390,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser thompsonii,Acipenser thompsonii thompsonii,Acipenser sturio
Acipenser valenciennii,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64023,Acipenser,valenciennii,"Duméril, 1870",1870,13696,NA,valenciennii,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5014,4,NA,1,1,2021-02-01T00:00:00Z,303,60565,1147,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser valenciennii,Acipenser valenciennii valenciennii,Acipenser sturio
Acipenser yarrellii,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64018,Acipenser,yarrellii,"Duméril, 1867",1867,13696,NA,yarrellii,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5007,4,NA,1,1,2021-02-01T00:00:00Z,303,27459,14072,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser yarrellii,Acipenser yarrellii yarrellii,Acipenser sturio
Arcipenser sturio,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,29593,Arcipenser,sturio,"Linnaeus, 1758",1758,9945,NA,sturio,Misspelling of the generic name.,NA,NA,NA,0,0,senior synonym,NA,original combination,0,1,ISSgen,0,0,0,4999,255,"GSD status set up by query, Nicolas, 17/10/12. Record previously modified by encoder no. 303 on  10/02/06.",0,9,NA,NA,9774,2787,1,NA,1,1996-12-05T00:00:00Z,303,2012-10-17T00:00:00Z,NA,NA,NA,Arcipenser sturio,Arcipenser sturio sturio,Acipenser sturio
Sturio vulgaris,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64025,Sturio,vulgaris,"Rafinesque, 1810",1810,13696,NA,vulgaris,Unneeded replacement name.,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5000,4,Unneeded new name.,1,1,2021-02-01T00:00:00Z,303,9779,3595,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Sturio vulgaris,Sturio vulgaris vulgaris,Acipenser sturio
Erpetoichthys calabaricus,accepted name,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,31108,Erpetoichthys,calabaricus,"Smith, 1865",1865,42776,NA,calabaricus,NA,Named after the locality where the fish was taken: Old Calabar (Ref. 42916).,NA,NA,1,1,senior synonym,NA,original combination,0,0,NA,0,0,0,4987,1,NA,1,1,2021-02-01T00:00:00Z,303,58832,20731,1,NA,2,1991-12-18T00:00:00Z,303,2017-10-27T00:00:00Z,1,1994-01-28T00:00:00Z,NA,Erpetoichthys calabaricus,Erpetoichthys calabaricus calabaricus,Erpetoichthys calabaricus
Calamichthys calabarica,synonym,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,31108,Calamichthys,calabarica,"(Smith, 1865)",1865,42870,NA,calabarica,Genus misspelled (Ref. 56787).,NA,NA,NA,0,0,senior synonym,NA,new combination,0,1,NA,0,0,0,4990,255,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,58832,20731,1,NA,675,2002-07-23T00:00:00Z,303,2017-10-27T00:00:00Z,NA,NA,NA,Calamichthys calabarica,Calamichthys calabarica calabarica,Erpetoichthys calabaricus
Calamichthys calabaricus,synonym,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,31108,Calamichthys,calabaricus,"(Smith, 1865)",1865,3188,NA,calabaricus,Year (Ref. 12965). In Gervais 1867.  Genus misspelled (Ref. 56787).,NA,NA,NA,0,0,senior synonym,NA,new combination,0,1,NA,0,0,0,4991,255,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,58832,20731,1,NA,2,1991-12-17T00:00:00Z,303,2017-10-27T00:00:00Z,1,1994-12-13T00:00:00Z,NA,Calamichthys calabaricus,Calamichthys calabaricus calabaricus,Erpetoichthys calabaricus
Calamoichthys calabaricus,synonym,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,31108,Calamoichthys,calabaricus,"(Smith, 1865)",1865,3188,NA,calabaricus,Year (Ref. 12965).,NA,NA,NA,0,0,senior synonym,NA,new combination,0,0,NA,0,0,0,4988,3,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,58832,20731,1,NA,2,1991-12-17T00:00:00Z,303,2017-10-27T00:00:00Z,34,1996-07-02T00:00:00Z,NA,Calamoichthys calabaricus,Calamoichthys calabaricus calabaricus,Erpetoichthys calabaricus
Calanichthys calabaricus,synonym,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,31108,Calanichthys,calabaricus,"(Smith, 1865)",1865,52077,NA,calabaricus,Genus misspelled (Ref. 56787).,NA,NA,NA,0,0,senior synonym,NA,new combination,0,1,NA,0,0,0,4992,255,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,58832,20731,1,NA,675,2004-08-26T00:00:00Z,303,2017-10-27T00:00:00Z,NA,NA,NA,Calanichthys calabaricus,Calanichthys calabaricus calabaricus,Erpetoichthys calabaricus
Erpetoichthys calabaris,synonym,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,31108,Erpetoichthys,calabaris,"(Smith, 1865)",1865,42827,NA,calabaris,Specific name misspelled.,NA,NA,NA,0,0,senior synonym,NA,new combination,0,1,NA,0,0,0,4993,255,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,58832,20731,1,NA,675,2002-07-19T00:00:00Z,303,2017-10-27T00:00:00Z,NA,NA,NA,Erpetoichthys calabaris,Erpetoichthys calabaris calabaris,Erpetoichthys calabaricus
Erpetoichthys robbianus,synonym,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,145713,Erpetoichthys,robbianus,"Smith, 1865",1865,42776,NA,robbianus,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,4994,4,NA,1,1,2021-02-01T00:00:00Z,303,61069,20730,1,NA,675,2002-07-16T00:00:00Z,303,2017-10-27T00:00:00Z,NA,NA,NA,Erpetoichthys robbianus,Erpetoichthys robbianus robbianus,Erpetoichthys calabaricus
Herpetoichthys calabaricus,synonym,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,31108,Herpetoichthys,calabaricus,"(Smith, 1865)",1865,1672,NA,calabaricus,Year (Ref. 12965).,NA,NA,NA,0,0,senior synonym,NA,new combination,0,0,NA,0,0,0,4989,3,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,58832,20731,1,NA,2,1991-12-17T00:00:00Z,303,2017-10-27T00:00:00Z,1,1994-12-13T00:00:00Z,NA,Herpetoichthys calabaricus,Herpetoichthys calabaricus calabaricus,Erpetoichthys calabaricus
Polypterus erpetoideus,synonym,4830,Erpetoichthys calabaricus,Cladistii,Polypteriformes,Polypteridae,Erpetoichthys,Reedfish,TRUE,calabaricus,1,1,145714,Polypterus,erpetoideus,"Smith, 1865",1865,42776,NA,erpetoideus,Objective synonym of <i>Erpetoichthys calabaricus</i> (Ref. 42776).,NA,NA,NA,0,0,other,NA,original combination,0,0,NA,0,0,0,4995,255,NA,1,1,2021-02-01T00:00:00Z,303,61074,20731,1,NA,675,2002-07-16T00:00:00Z,303,2017-10-27T00:00:00Z,NA,NA,NA,Polypterus erpetoideus,Polypterus erpetoideus erpetoideus,Erpetoichthys calabaricus
Polypterus ansorgii,accepted name,5005,Polypterus ansorgii,Cladistii,Polypteriformes,Polypteridae,Polypterus,Guinean bichir,TRUE,ansorgii,1,0,31182,Polypterus,ansorgii,"Boulenger, 1910",1910,2835,NA,ansorgii,NA,Named after Dr. W.J. Ansorge (Ref. 43036).,NA,NA,1,1,senior synonym,NA,original combination,0,0,NA,0,0,0,4977,1,NA,1,1,2021-02-01T00:00:00Z,303,27349,14430,1,NA,22,1992-02-11T00:00:00Z,303,2006-02-10T00:00:00Z,1,1994-01-28T00:00:00Z,NA,Polypterus ansorgii,Polypterus ansorgii ansorgii,Polypterus ansorgii
Polypterus ansorgei,synonym,5005,Polypterus ansorgii,Cladistii,Polypteriformes,Polypteridae,Polypterus,Guinean bichir,TRUE,ansorgii,1,0,31182,Polypterus,ansorgei,"Boulenger, 1910",1910,3188,NA,ansorgei,In Pellegrin 1922. The specific epithet must be spelled <i>ansorg*i*i</i>.,NA,NA,NA,0,0,senior synonym,NA,original combination,0,1,ISSsp,0,0,0,4978,255,"GSD status set up by query, Nicolas, 17/10/12. Record previously modified by encoder no. 303 on  16/08/06.",0,9,NA,NA,27349,14430,1,NA,34,1994-12-13T00:00:00Z,303,2012-10-17T00:00:00Z,34,1995-11-10T00:00:00Z,NA,Polypterus ansorgei,Polypterus ansorgei ansorgei,Polypterus ansorgii
Polypterus ansorgei ansorgei ansorgei,synonym,5005,Polypterus ansorgii,Cladistii,Polypteriformes,Polypteridae,Polypterus,Guinean bichir,TRUE,ansorgii,1,0,31182,Polypterus,ansorgei ansorgei,"Boulenger, 1910",1910,3188,NA,ansorgei,The specific and subspecific epithets must be spelled  <i>ansorg*i*i ansorg*i*i</i>.,NA,NA,NA,0,0,senior synonym,NA,change in rank,0,1,NA,0,0,0,4979,255,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,27349,14430,1,NA,675,2002-07-31T00:00:00Z,113,2006-12-06T00:00:00Z,NA,NA,NA,Polypterus ansorgei ansorgei,Polypterus ansorgei ansorgei ansorgei,Polypterus ansorgii
Polypterus bichir lapradei,accepted name,5020,Polypterus bichir lapradei,Cladistii,Polypteriformes,Polypteridae,Polypterus,Nile bichir,TRUE,bichir,1,0,19825,Polypterus,bichir,"Lacepède, 1803",1803,88084,NA,bichir,Author from Eschmeyer (CofF ver. Feb. 2010: Ref. 83763) and Ref. 42855.  Appeared originally as 'Polyptère bichir' (Ref. 43537).,Named after the local name for the fish (Ref. 43537).,NA,NA,1,1,senior synonym,NA,original combination,1,0,NA,0,0,1,4924,1,NA,1,1,2021-02-01T00:00:00Z,303,9797,4930,1,NA,34,1994-12-13T00:00:00Z,10,2013-02-07T00:00:00Z,675,2003-11-04T00:00:00Z,NA,Polypterus bichir,Polypterus bichir bichir,Polypterus bichir
Polypterus bichir bichir,synonym,5020,Polypterus bichir,Cladistii,Polypteriformes,Polypteridae,Polypterus,Nile bichir,TRUE,bichir,1,0,19825,Polypterus,bichir bichir,"Lacepède, 1803",1803,88084,NA,bichir,Year from Eschmeyer (CofF ver. Mar. 2003: Ref. 46206).,NA,NA,NA,0,0,senior synonym,NA,change in rank,0,0,NA,0,0,0,4925,1,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,9797,4930,1,NA,22,1992-02-11T00:00:00Z,10,2013-02-07T00:00:00Z,675,2003-11-04T00:00:00Z,NA,Polypterus bichir bichir,Polypterus bichir bichir bichir,Polypterus bichir
Polypterus bichir lapradei lapradei,synonym,5020,Polypterus bichir,Cladistii,Polypteriformes,Polypteridae,Polypterus,Nile bichir,TRUE,bichir,1,0,12535,Polypterus,bichir lapradei,"Steindachner, 1869",1869,88084,NA,lapradei,NA,NA,NA,NA,0,0,junior synonym,NA,change in rank,0,0,NA,0,0,0,4927,1,NA,0,9,NA,NA,9799,20468,1,NA,22,1992-02-11T00:00:00Z,10,2013-02-07T00:00:00Z,1,1994-01-28T00:00:00Z,NA,Polypterus bichir lapradei,Polypterus bichir lapradei lapradei,Polypterus bichir
Polypterus bichir lapradii lapradii,synonym,5020,Polypterus bichir,Cladistii,Polypteriformes,Polypteridae,Polypterus,Nile bichir,TRUE,bichir,1,0,12535,Polypterus,bichir lapradii,"Steindachner, 1869",1869,88084,NA,lapradii,The subspecific epithet must be spelled <i>laprad*e*i</i>.,NA,NA,NA,0,0,junior synonym,NA,change in rank,0,1,NA,0,0,0,4928,255,NA,0,9,NA,NA,9799,20468,1,NA,675,2002-10-16T00:00:00Z,10,2013-02-07T00:00:00Z,NA,NA,NA,Polypterus bichir lapradii,Polypterus bichir lapradii lapradii,Polypterus bichir
Polypterus lapradei,synonym,5020,Polypterus bichir,Cladistii,Polypteriformes,Polypteridae,Polypterus,Nile bichir,TRUE,bichir,1,0,12535,Polypterus,lapradei,"Steindachner, 1869",1869,88084,NA,lapradei,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,1,0,NA,0,0,1,4926,2,NA,1,1,2021-02-01T00:00:00Z,303,9799,20468,1,NA,1,1994-01-28T00:00:00Z,10,2013-02-07T00:00:00Z,34,1994-12-13T00:00:00Z,NA,Polypterus lapradei,Polypterus lapradei lapradei,Polypterus bichir
Polypterus lapradii,synonym,5020,Polypterus bichir,Cladistii,Polypteriformes,Polypteridae,Polypterus,Nile bichir,TRUE,bichir,1,0,12535,Polypterus,lapradii,"Steindachner, 1869",1869,88084,NA,lapradii,The specific epithet must be spelled <i>laprad*e*i</i>.,NA,NA,NA,0,0,junior synonym,NA,original combination,0,1,ISSsp,0,0,0,4929,255,NA,0,9,NA,NA,9799,20468,1,NA,675,2002-10-16T00:00:00Z,10,2013-02-07T00:00:00Z,NA,NA,NA,Polypterus lapradii,Polypterus lapradii lapradii,Polypterus bichir
Polypterus congicus,accepted name,10818,Polypterus congicus,Cladistii,Polypteriformes,Polypteridae,Polypterus,NA,TRUE,congicus,1,0,18370,Polypterus,congicus,"Boulenger, 1898",1898,88084,NA,congicus,Original description in Ref. 45628.,NA,NA,NA,1,1,senior synonym,NA,original combination,1,0,NA,0,0,1,4956,1,NA,1,1,2021-02-01T00:00:00Z,303,9801,14681,1,NA,14,1994-11-11T00:00:00Z,10,2011-11-11T00:00:00Z,34,1995-02-21T00:00:00Z,NA,Polypterus congicus,Polypterus congicus congicus,Polypterus congicus
Polypterus bichir katangae katangae,synonym,10818,Polypterus congicus,Cladistii,Polypteriformes,Polypteridae,Polypterus,NA,TRUE,congicus,1,0,34170,Polypterus,bichir katangae,"Poll, 1941",1941,88113,NA,katangae,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,1,0,NA,0,0,1,4960,4,NA,1,2,2011-09-30T00:00:00Z,303,9798,19488,1,NA,34,1994-06-15T00:00:00Z,10,2011-11-11T00:00:00Z,1307,2011-11-11T00:00:00Z,NA,Polypterus bichir katangae,Polypterus bichir katangae katangae,Polypterus congicus
Polypterus endlicheri concicus concicus,synonym,10818,Polypterus congicus,Cladistii,Polypteriformes,Polypteridae,Polypterus,NA,TRUE,congicus,1,0,18370,Polypterus,endlicheri concicus,"Boulenger, 1898",1898,88084,NA,concicus,The subspecific epithet must be spelled <i>con*g*icus</i>.,NA,NA,NA,0,0,senior synonym,NA,change in rank,0,1,NA,0,0,0,4958,255,"GSD status set up by query, Nicolas, 17/12/10",0,9,NA,NA,9801,14681,1,NA,97,1997-07-14T00:00:00Z,10,2011-11-11T00:00:00Z,NA,NA,NA,Polypterus endlicheri concicus,Polypterus endlicheri concicus concicus,Polypterus congicus
Polypterus endlicheri congicus congicus,synonym,10818,Polypterus congicus,Cladistii,Polypteriformes,Polypteridae,Polypterus,NA,TRUE,congicus,1,0,18370,Polypterus,endlicheri congicus,"Boulenger, 1898",1898,88084,NA,congicus,NA,NA,NA,NA,0,0,senior synonym,NA,change in rank,0,1,ISSsp,0,0,0,4959,255,NA,0,9,NA,NA,9801,14681,1,NA,34,1994-06-15T00:00:00Z,10,2011-11-11T00:00:00Z,34,1995-11-10T00:00:00Z,NA,Polypterus endlicheri congicus,Polypterus endlicheri congicus congicus,Polypterus congicus
Polypterus endlicherii congicus congicus,synonym,10818,Polypterus congicus,Cladistii,Polypteriformes,Polypteridae,Polypterus,NA,TRUE,congicus,1,0,18370,Polypterus,endlicherii congicus,"Boulenger, 1898",1898,88084,NA,congicus,Spelling of specific epithet from Eschmeyer (CofF ver. Sep. 2011: Ref. 88002).,NA,NA,NA,0,0,senior synonym,NA,change in rank,0,0,NA,0,0,0,4957,3,NA,0,9,NA,NA,9801,14681,0,NA,303,2011-05-31T00:00:00Z,10,2011-11-11T00:00:00Z,NA,NA,NA,Polypterus endlicherii congicus,Polypterus endlicherii congicus congicus,Polypterus congicus
