Species,FbSpecCode,Order,Family,,
Irvineia orientalis,9368,Siluriformes,Schilbeidae,,
Argyrosomus hololepidotus,419,Eupercaria/misc,Sciaenidae,,
Silurus glanis,289,Siluriformes,Siluridae,,
Brachirus orientalis,8312,Pleuronectiformes,Soleidae,,
Acanthopagrus berda,5526,Eupercaria/misc,Sparidae,,
Monopterus boueti,9895,Synbranchiformes,Synbranchidae,,
Enneacampus ansorgii,9889,Syngnathiformes,Syngnathidae,,
Tanichthys albonubes,4758,Cypriniformes,Tanichthyidae,,
Mesopristes elongatus,7944,Centrarchiformes,Terapontidae,,
Chelonodontops patoca,6610,Tetraodontiformes,Tetraodontidae,,
Tinca tinca,269,Cypriniformes,Tincidae,,
Ctenopharyngodon idella,79,Cypriniformes,Xenocyprididae,,
Zenarchopterus dispar,9648,Beloniformes,Zenarchopteridae,,
