sciNameAccession
Abramis brama orientalis
Aliteranodon stuhlmanni
Anaecypris punica
Anguilla bicolor pacifica
Aphyosemion celiae winifredae
Atherina boyeri pontica
Brachyalestes affinis
Brachyalestes fwaensis
Brachyalestes sadleri
Brachyalestes taeniurus
Carassius auratus 'high back crucian carp'
Carassius auratus grandoculis
Carassius auratus red var.
Carassius auratus ssp. 'Pengze'
Carassius auratus ssp. 'Pingxiang'
Carassius auratus suogu var.
Chrysichthys congicus
Coptodon congicus
Coptodon nyonganus
Cyphomyrus grahami
Cyprinus carpio 'Guilin'
Cyprinus carpio 'Songpu carp'
Cyprinus carpio 'Songpu mirror carp'
Cyprinus carpio 'Ying hybrid'
Cyprinus carpio 'blue var'
Cyprinus carpio 'color'
Cyprinus carpio 'frigid carp'
Cyprinus carpio 'koi'
Cyprinus carpio 'longfin'
Cyprinus carpio 'wananensis'
Cyprinus carpio 'wuyuanensis'
Cyprinus carpio 'xingguonensis'
Cyprinus carpio (triploid)
Cyprinus carpio haematopterus
Cyprinus carpio nudus
Cyprinus carpio var. baisenensis
Deveximentum ruconius
Fundulopanchax gardneri nigerianus
Garra andruzzii
Haplochromis desfontanii
Heteromormyrus ansorgii
Heteromormyrus longilateralis
Heteromormyrus szaboi
Heteromormyrus tavernei
Iconisemion striatum
Jabarichromis pfefferi
Luciobarbus pallaryi figuigensis
Mormyrus caballus bumbanus
Oncorhynchus mykiss aguabonita
Oncorhynchus mykiss aquilarum
Oncorhynchus mykiss gairdneri
Oncorhynchus mykiss irideus
Oncorhynchus mykiss nelsoni
Oncorhynchus mykiss newberrii
Ophiocara porocephalum
Oreochromis urolepis hornorum
Petrochromis trewavasae ephippium
Polypterus bichir lapradei
Polypterus endlicherii congicus
Polypterus palmas buettikoferi
Polypterus palmas polli
Rhabdalestes barnardi
Rubricatochromis bimaculatus
Rubricatochromis cerasogaster
Rubricatochromis guttatus
Rubricatochromis letourneuxi
Rubricatochromis lifalili
Rubricatochromis stellifer
Rutilus rutilus caspicus
Rutilus rutilus lacustris
Salariopsis fluviatilis
Salmo trutta fario
Salmo trutta lacustris
Salmo trutta oxianus
Salvelinus alpinus erythrinus
Salvelinus alpinus oquassa
Sarotherodon galilaeus boulengeri
Sarotherodon galilaeus sanagaensis
Systomus rubripinnis
Tor putitora
Tropidophoxinellus callensis
