Species,FbSpecCode,Order,Family
Enteromius bifrenatus,11867,Cypriniformes,Cyprinidae
Enteromius bigornei,2412,Cypriniformes,Cyprinidae
Enteromius boboi,5317,Cypriniformes,Cyprinidae
Enteromius bourdariei,11310,Cypriniformes,Cyprinidae
Enteromius brachygramma,11311,Cypriniformes,Cyprinidae
Enteromius brazzai,11313,Cypriniformes,Cyprinidae
Enteromius breviceps,11314,Cypriniformes,Cyprinidae
Enteromius brevidorsalis,11315,Cypriniformes,Cyprinidae
Enteromius brevilateralis,11317,Cypriniformes,Cyprinidae
Enteromius brevipinnis,9539,Cypriniformes,Cyprinidae
Enteromius brichardi,11319,Cypriniformes,Cyprinidae
Enteromius cadenati,5301,Cypriniformes,Cyprinidae
Enteromius callipterus,2413,Cypriniformes,Cyprinidae
Enteromius camptacanthus,5316,Cypriniformes,Cyprinidae
Enteromius candens,11324,Cypriniformes,Cyprinidae
Enteromius carcharhinoides,59767,Cypriniformes,Cyprinidae
Enteromius carens,11326,Cypriniformes,Cyprinidae
Enteromius castrasibutum,11327,Cypriniformes,Cyprinidae
Enteromius catenarius,11329,Cypriniformes,Cyprinidae
Enteromius caudosignatus,11330,Cypriniformes,Cyprinidae
Enteromius chicapaensis,11334,Cypriniformes,Cyprinidae
Enteromius chiumbeensis,11335,Cypriniformes,Cyprinidae
Enteromius chlorotaenia,5332,Cypriniformes,Cyprinidae
Enteromius choloensis,11336,Cypriniformes,Cyprinidae
Enteromius citrinus,11337,Cypriniformes,Cyprinidae
Enteromius clauseni,5309,Cypriniformes,Cyprinidae
Enteromius collarti,11340,Cypriniformes,Cyprinidae
Enteromius deguidei,11345,Cypriniformes,Cyprinidae
Enteromius deserti,11346,Cypriniformes,Cyprinidae
Enteromius devosi,66742,Cypriniformes,Cyprinidae
Enteromius dialonensis,5303,Cypriniformes,Cyprinidae
Enteromius diamouanganai,55213,Cypriniformes,Cyprinidae
Enteromius ditinensis,5335,Cypriniformes,Cyprinidae
Enteromius dorsolineatus,11347,Cypriniformes,Cyprinidae
Enteromius eburneensis,2414,Cypriniformes,Cyprinidae
Enteromius erythrozonus,11350,Cypriniformes,Cyprinidae
Enteromius eutaenia,11351,Cypriniformes,Cyprinidae
Enteromius evansi,11352,Cypriniformes,Cyprinidae
Enteromius fasciolatus,10802,Cypriniformes,Cyprinidae
Enteromius foutensis,5325,Cypriniformes,Cyprinidae
Enteromius greenwoodi,11359,Cypriniformes,Cyprinidae
Enteromius guildi,5326,Cypriniformes,Cyprinidae
Enteromius guineensis,5302,Cypriniformes,Cyprinidae
Enteromius guirali,11360,Cypriniformes,Cyprinidae
Enteromius gurneyi,11362,Cypriniformes,Cyprinidae
Enteromius haasianus,11363,Cypriniformes,Cyprinidae
Enteromius holotaenia,11365,Cypriniformes,Cyprinidae
Enteromius huguenyi,57969,Cypriniformes,Cyprinidae
Enteromius hulstaerti,11367,Cypriniformes,Cyprinidae
Enteromius humeralis,11368,Cypriniformes,Cyprinidae
Enteromius inaequalis,2416,Cypriniformes,Cyprinidae
Enteromius innocens,8364,Cypriniformes,Cyprinidae
Enteromius jacksoni,11374,Cypriniformes,Cyprinidae
Enteromius jae,11375,Cypriniformes,Cyprinidae
Enteromius janssensi,11376,Cypriniformes,Cyprinidae
Enteromius kamolondoensis,11378,Cypriniformes,Cyprinidae
Enteromius kerstenii,11379,Cypriniformes,Cyprinidae
Enteromius kessleri,11381,Cypriniformes,Cyprinidae
Enteromius kissiensis,11382,Cypriniformes,Cyprinidae
Enteromius kuiluensis,11383,Cypriniformes,Cyprinidae
Enteromius lamani,11384,Cypriniformes,Cyprinidae
Enteromius laticeps,11385,Cypriniformes,Cyprinidae
Enteromius lauzannei,5320,Cypriniformes,Cyprinidae
Enteromius leonensis,2417,Cypriniformes,Cyprinidae
Enteromius liberiensis,5313,Cypriniformes,Cyprinidae
Enteromius lineomaculatus,11386,Cypriniformes,Cyprinidae
Enteromius litamba,5412,Cypriniformes,Cyprinidae
Enteromius lornae,60641,Cypriniformes,Cyprinidae
Enteromius loveridgii,11388,Cypriniformes,Cyprinidae
Enteromius lufukiensis,11391,Cypriniformes,Cyprinidae
Enteromius luikae,11392,Cypriniformes,Cyprinidae
Enteromius lujae,11393,Cypriniformes,Cyprinidae
Enteromius lukindae,11394,Cypriniformes,Cyprinidae
Enteromius lukusiensis,11395,Cypriniformes,Cyprinidae
Enteromius luluae,11396,Cypriniformes,Cyprinidae
Enteromius machadoi,11397,Cypriniformes,Cyprinidae
Enteromius macinensis,2418,Cypriniformes,Cyprinidae
Enteromius macrops,2419,Cypriniformes,Cyprinidae
Enteromius macrotaenia,8365,Cypriniformes,Cyprinidae
Enteromius magdalenae,11400,Cypriniformes,Cyprinidae
Enteromius manicensis,11402,Cypriniformes,Cyprinidae
Enteromius marmoratus,11405,Cypriniformes,Cyprinidae
Enteromius martorelli,11406,Cypriniformes,Cyprinidae
Enteromius mattozi,11408,Cypriniformes,Cyprinidae
Enteromius mediosquamatus,11412,Cypriniformes,Cyprinidae
Enteromius melanotaenia,59768,Cypriniformes,Cyprinidae
Enteromius mimus,11416,Cypriniformes,Cyprinidae
Enteromius miolepis,11417,Cypriniformes,Cyprinidae
Enteromius mocoensis,11420,Cypriniformes,Cyprinidae
Enteromius motebensis,9593,Cypriniformes,Cyprinidae
Enteromius multilineatus,11422,Cypriniformes,Cyprinidae
Enteromius musumbi,11424,Cypriniformes,Cyprinidae
Enteromius neefi,11428,Cypriniformes,Cyprinidae
Enteromius neglectus,11429,Cypriniformes,Cyprinidae
Enteromius neumayeri,11430,Cypriniformes,Cyprinidae
Enteromius nigeriensis,5334,Cypriniformes,Cyprinidae
Enteromius nigrifilis,11431,Cypriniformes,Cyprinidae
Enteromius nigroluteus,11433,Cypriniformes,Cyprinidae
Enteromius niokoloensis,5330,Cypriniformes,Cyprinidae
Enteromius nounensis,50314,Cypriniformes,Cyprinidae
Enteromius nyanzae,11435,Cypriniformes,Cyprinidae
Enteromius okae,11436,Cypriniformes,Cyprinidae
Enteromius oligogrammus,11437,Cypriniformes,Cyprinidae
Enteromius olivaceus,53130,Cypriniformes,Cyprinidae
Enteromius owenae,11438,Cypriniformes,Cyprinidae
Enteromius pallidus,12345,Cypriniformes,Cyprinidae
Enteromius paludinosus,7571,Cypriniformes,Cyprinidae
Enteromius papilio,11442,Cypriniformes,Cyprinidae
Enteromius parablabes,5327,Cypriniformes,Cyprinidae
Enteromius parajae,50316,Cypriniformes,Cyprinidae
Enteromius pellegrini,11444,Cypriniformes,Cyprinidae
Enteromius perince,5318,Cypriniformes,Cyprinidae
Enteromius petchkovskyi,11445,Cypriniformes,Cyprinidae
Enteromius pobeguini,2422,Cypriniformes,Cyprinidae
Enteromius poechii,11448,Cypriniformes,Cyprinidae
Enteromius potamogalis,68107,Cypriniformes,Cyprinidae
Enteromius profundus,11460,Cypriniformes,Cyprinidae
Enteromius pseudotoppini,53133,Cypriniformes,Cyprinidae
Enteromius pumilus,5307,Cypriniformes,Cyprinidae
Enteromius punctitaeniatus,2423,Cypriniformes,Cyprinidae
Enteromius pygmaeus,11457,Cypriniformes,Cyprinidae
Enteromius quadrilineatus,62907,Cypriniformes,Cyprinidae
Enteromius quadripunctatus,11458,Cypriniformes,Cyprinidae
Enteromius radiatus,8363,Cypriniformes,Cyprinidae
Enteromius raimbaulti,5324,Cypriniformes,Cyprinidae
Enteromius rohani,11465,Cypriniformes,Cyprinidae
Enteromius roussellei,11467,Cypriniformes,Cyprinidae
Enteromius rouxi,11468,Cypriniformes,Cyprinidae
Enteromius rubrostigma,11418,Cypriniformes,Cyprinidae
Enteromius salessei,5306,Cypriniformes,Cyprinidae
Enteromius sensitivus,65886,Cypriniformes,Cyprinidae
Enteromius serengetiensis,57884,Cypriniformes,Cyprinidae
Enteromius sexradiatus,11473,Cypriniformes,Cyprinidae
Enteromius seymouri,63695,Cypriniformes,Cyprinidae
Enteromius stanleyi,11475,Cypriniformes,Cyprinidae
Enteromius stauchi,11477,Cypriniformes,Cyprinidae
Enteromius stigmasemion,11479,Cypriniformes,Cyprinidae
