speciesName	status	fbSpecCode	validName	class	order	family	genus	commonName	commonSpecies
Lepidiolamprologus meeli	accepted name	8673	Lepidiolamprologus meeli	Teleostei	Cichliformes	Cichlidae	Lepidiolamprologus	NA	TRUE
Lepidiolamprologus mimicus	accepted name	64225	Lepidiolamprologus mimicus	Teleostei	Cichliformes	Cichlidae	Lepidiolamprologus	NA	TRUE
Lepidiolamprologus nkambae	synonym	8629	Lepidiolamprologus kendalli	Teleostei	Cichliformes	Cichlidae	Lepidiolamprologus	NA	TRUE
Lepidiolamprologus pleuromaculatus	synonym	8750	Neolamprologus pleuromaculatus	Teleostei	Cichliformes	Cichlidae	Neolamprologus	NA	TRUE
Lepidiolamprologus profundicola	accepted name	8631	Lepidiolamprologus profundicola	Teleostei	Cichliformes	Cichlidae	Lepidiolamprologus	NA	TRUE
Lepidiolamprologus variostigma	accepted name	60405	Lepidiolamprologus variostigma	Teleostei	Cichliformes	Cichlidae	Lepidiolamprologus	NA	TRUE
Lepidion capense	synonym	17062	Lepidion capensis	Teleostei	Gadiformes	Moridae	Lepidion	NA	TRUE
Lepidion capensis	accepted name	17062	Lepidion capensis	Teleostei	Gadiformes	Moridae	Lepidion	NA	TRUE
Lepidion engiferus	synonym	2015	Lepidion ensiferus	Teleostei	Gadiformes	Moridae	Lepidion	Patagonian codling	TRUE
Lepidion ensiferus	accepted name	2015	Lepidion ensiferus	Teleostei	Gadiformes	Moridae	Lepidion	Patagonian codling	TRUE
Lepidion natalensis	accepted name	10244	Lepidion natalensis	Teleostei	Gadiformes	Moridae	Lepidion	NA	TRUE
Lepidochromis bellcrossi	synonym	8583	Greenwoodochromis bellcrossi	Teleostei	Cichliformes	Cichlidae	Greenwoodochromis	NA	TRUE
Lepidochromis brunneus	synonym	5674	Azurina lepidolepis	Teleostei	Ovalentaria/misc	Pomacentridae	Azurina	Scaly chromis	TRUE
Lepidochromis christyi	synonym	8584	Greenwoodochromis christyi	Teleostei	Cichliformes	Cichlidae	Greenwoodochromis	NA	TRUE
Lepidocybium flavobrunneum	accepted name	1042	Lepidocybium flavobrunneum	Teleostei	Scombriformes	Gempylidae	Lepidocybium	Escolar	TRUE
Lepidogaster chupasangue	synonym	640	Lepadogaster candolii	Teleostei	Gobiesociformes	Gobiesocidae	Lepadogaster	Connemarra clingfish	TRUE
Lepidogaster couchii	synonym	64	Diplecogaster bimaculata	Teleostei	Gobiesociformes	Gobiesocidae	Diplecogaster	Two-spotted clingfish	TRUE
Lepidoleprus caelorhincus	synonym	1726	Coelorinchus caelorhincus	Teleostei	Gadiformes	Macrouridae	Coelorinchus	Hollowsnout grenadier	TRUE
Lepidoleprus norvegicus	synonym	332	Coryphaenoides rupestris	Teleostei	Gadiformes	Macrouridae	Coryphaenoides	Roundnose grenadier	TRUE
Lepidoleprus trachyrincus	synonym	4556	Trachyrincus scabrus	Teleostei	Gadiformes	Trachyrincidae	Trachyrincus	Roughsnout grenadier	TRUE
Lepidophanes gaussi	accepted name	619	Lepidophanes gaussi	Teleostei	Myctophiformes	Myctophidae	Lepidophanes	NA	TRUE
Lepidophanes guentheri	accepted name	6591	Lepidophanes guentheri	Teleostei	Myctophiformes	Myctophidae	Lepidophanes	Günther’s lanternfish	TRUE
Lepidophanes indicus	synonym	11875	Bolinichthys indicus	Teleostei	Myctophiformes	Myctophidae	Bolinichthys	Lanternfish	TRUE
Lepidophanes photothorax	synonym	11876	Bolinichthys photothorax	Teleostei	Myctophiformes	Myctophidae	Bolinichthys	Spurcheek lanternfish	TRUE
Lepidophanes supralateralis	synonym	7407	Bolinichthys supralateralis	Teleostei	Myctophiformes	Myctophidae	Bolinichthys	Stubby lanternfish	TRUE
Lepidopus aomori	synonym	8563	Benthodesmus tenuis	Teleostei	Scombriformes	Trichiuridae	Benthodesmus	Slender frostfish	TRUE
Lepidopus argenteus	synonym	645	Lepidopus caudatus	Teleostei	Scombriformes	Trichiuridae	Lepidopus	Silver scabbardfish	TRUE
Lepidopus caudatus	accepted name	645	Lepidopus caudatus	Teleostei	Scombriformes	Trichiuridae	Lepidopus	Silver scabbardfish	TRUE
Lepidopus dubius	accepted name	8662	Lepidopus dubius	Teleostei	Scombriformes	Trichiuridae	Lepidopus	Doubtful scabbardfish	TRUE
Lepidopus elongatus	synonym	3909	Benthodesmus elongatus	Teleostei	Scombriformes	Trichiuridae	Benthodesmus	Elongate frostfish	TRUE
Lepidopus gouanianus	synonym	645	Lepidopus caudatus	Teleostei	Scombriformes	Trichiuridae	Lepidopus	Silver scabbardfish	TRUE
Lepidopus gracilis	synonym	7117	Paradiplospinus gracilis	Teleostei	Scombriformes	Gempylidae	Paradiplospinus	Slender escolar	TRUE
Lepidopus lex	synonym	645	Lepidopus caudatus	Teleostei	Scombriformes	Trichiuridae	Lepidopus	Silver scabbardfish	TRUE
Lepidopus peronii	synonym	645	Lepidopus caudatus	Teleostei	Scombriformes	Trichiuridae	Lepidopus	Silver scabbardfish	TRUE
Lepidopus tenuis	synonym	8563	Benthodesmus tenuis	Teleostei	Scombriformes	Trichiuridae	Benthodesmus	Slender frostfish	TRUE
Lepidopus xantusi	synonym	645	Lepidopus caudatus	Teleostei	Scombriformes	Trichiuridae	Lepidopus	Silver scabbardfish	TRUE
Lepidorhinus hinbei	synonym	653	Centrophorus squamosus	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Leafscale gulper shark	TRUE
Lepidorhinus kinbei	synonym	653	Centrophorus squamosus	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Leafscale gulper shark	TRUE
Lepidorhinus squamosus	synonym	653	Centrophorus squamosus	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Leafscale gulper shark	TRUE
Lepidorhombus bosci	synonym	27	Lepidorhombus boscii	Teleostei	Pleuronectiformes	Scophthalmidae	Lepidorhombus	Four-spot megrim	TRUE
Lepidorhombus boscii	accepted name	27	Lepidorhombus boscii	Teleostei	Pleuronectiformes	Scophthalmidae	Lepidorhombus	Four-spot megrim	TRUE
Lepidorhombus megastoma	synonym	28	Lepidorhombus whiffiagonis	Teleostei	Pleuronectiformes	Scophthalmidae	Lepidorhombus	Megrim	TRUE
Lepidorhombus whiffiagonis	accepted name	28	Lepidorhombus whiffiagonis	Teleostei	Pleuronectiformes	Scophthalmidae	Lepidorhombus	Megrim	TRUE
Lepidorphinus foliaceus	synonym	653	Centrophorus squamosus	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Leafscale gulper shark	TRUE
Lepidosarda retigramma	synonym	1042	Lepidocybium flavobrunneum	Teleostei	Scombriformes	Gempylidae	Lepidocybium	Escolar	TRUE
Lepidosiren annectens	synonym	2384	Protopterus annectens	Dipneusti	Ceratodontiformes	Protopteridae	Protopterus	West African lungfish	TRUE
Lepidosiren arnaudii	synonym	8734	Protopterus aethiopicus	Dipneusti	Ceratodontiformes	Protopteridae	Protopterus	Marbled lungfish	TRUE
Lepidosiren tobal	synonym	2384	Protopterus annectens	Dipneusti	Ceratodontiformes	Protopteridae	Protopterus	West African lungfish	TRUE
Lepidothynnus huttoni	synonym	100	Gasterochisma melampus	Teleostei	Scombriformes	Scombridae	Gasterochisma	Butterfly kingfish	TRUE
Lepidothynnus huttonii	synonym	100	Gasterochisma melampus	Teleostei	Scombriformes	Scombridae	Gasterochisma	Butterfly kingfish	TRUE
Lepidotrigal bispinosa	synonym	28127	Lepidotrigla bispinosa	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Bullhorn gurnard	TRUE
Lepidotrigla aspera	synonym	1722	Lepidotrigla cavillone	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Large-scaled gurnard	TRUE
Lepidotrigla bentuviai	accepted name	13078	Lepidotrigla bentuviai	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Twohorn gurnard	TRUE
Lepidotrigla bispinosa	accepted name	28127	Lepidotrigla bispinosa	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Bullhorn gurnard	TRUE
