speciesName	status	fbSpecCode	validName	class	order	family	genus	commonName	commonSpecies
Abactochromis labrosus	accepted name	2347	Abactochromis labrosus	Teleostei	Cichliformes	Cichlidae	Abactochromis	NA	TRUE
Abalistes stellairs	synonym	9	Abalistes stellatus	Teleostei	Tetraodontiformes	Balistidae	Abalistes	Starry triggerfish	TRUE
Abalistes stellaris	synonym	9	Abalistes stellatus	Teleostei	Tetraodontiformes	Balistidae	Abalistes	Starry triggerfish	TRUE
Abalistes stellatus	accepted name	9	Abalistes stellatus	Teleostei	Tetraodontiformes	Balistidae	Abalistes	Starry triggerfish	TRUE
Abantennarius coccineus	accepted name	5402	Abantennarius coccineus	Teleostei	Lophiiformes	Antennariidae	Abantennarius	Scarlet frogfish	TRUE
Abantennarius dorehensis	accepted name	7294	Abantennarius dorehensis	Teleostei	Lophiiformes	Antennariidae	Abantennarius	New Guinean frogfish	TRUE
Abantennarius neocaledoniensis	synonym	5402	Abantennarius coccineus	Teleostei	Lophiiformes	Antennariidae	Abantennarius	Scarlet frogfish	TRUE
Abantennarius nummifer	accepted name	5403	Abantennarius nummifer	Teleostei	Lophiiformes	Antennariidae	Abantennarius	Spotfin frogfish	TRUE
Ablabys binotatus	accepted name	8049	Ablabys binotatus	Teleostei	Perciformes/Scorpaenoidei	Tetrarogidae	Ablabys	Redskinfish	TRUE
Ablabys taenianotus	accepted name	10232	Ablabys taenianotus	Teleostei	Perciformes/Scorpaenoidei	Tetrarogidae	Ablabys	Cockatoo waspfish	TRUE
Ablabys taenionotus	synonym	10232	Ablabys taenianotus	Teleostei	Perciformes/Scorpaenoidei	Tetrarogidae	Ablabys	Cockatoo waspfish	TRUE
Ablenes hians	synonym	972	Ablennes hians	Teleostei	Beloniformes	Belonidae	Ablennes	Flat needlefish	TRUE
Ablennes hians	accepted name	972	Ablennes hians	Teleostei	Beloniformes	Belonidae	Ablennes	Flat needlefish	TRUE
Ablennes hians pacificus	synonym	972	Ablennes hians	Teleostei	Beloniformes	Belonidae	Ablennes	Flat needlefish	TRUE
Ablennes pacificus	synonym	972	Ablennes hians	Teleostei	Beloniformes	Belonidae	Ablennes	Flat needlefish	TRUE
Abramis alburnus	synonym	4730	Alburnus alburnus	Teleostei	Cypriniformes	Leuciscidae	Alburnus	Bleak	TRUE
Abramis argyreus	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama	accepted name	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama bergi	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama danubii	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama orientalis	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama sinegorensis	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis gehini	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis media	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis melaenus	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis microlepidotus	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis vetula	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis vulgaris	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramocephalus microlepis	synonym	274	Hypophthalmichthys molitrix	Teleostei	Cypriniformes	Xenocyprididae	Hypophthalmichthys	Silver carp	TRUE
Abranches pinto	synonym	26398	Gobiopsis pinto	Teleostei	Gobiiformes	Gobiidae	Gobiopsis	Snakehead goby	TRUE
Abrostomus capensis	synonym	5129	Labeo capensis	Teleostei	Cypriniformes	Cyprinidae	Labeo	Orange river mudfish	TRUE
Abrostomus umbratus	synonym	7577	Labeo umbratus	Teleostei	Cypriniformes	Cyprinidae	Labeo	Moggel	TRUE
Abudefduf analogus	synonym	1120	Abudefduf taurus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Night sergeant	TRUE
Abudefduf annulatus	synonym	12438	Amblypomacentrus annulatus	Teleostei	Ovalentaria/misc	Pomacentridae	Amblypomacentrus	Footballer demoiselle	TRUE
Abudefduf ascensionis	synonym	1119	Abudefduf saxatilis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Sergeant-major	TRUE
Abudefduf assimilis	synonym	5695	Chrysiptera cyanea	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Sapphire devil	TRUE
Abudefduf atrapinna	synonym	5713	Plectroglyphidodon leucozonus	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Singlebar devil	TRUE
Abudefduf bengalensis	accepted name	6517	Abudefduf bengalensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Bengal sergeant	TRUE
Abudefduf biocellatus	synonym	5693	Chrysiptera biocellata	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Twinspot damselfish	TRUE
Abudefduf caesio	synonym	5696	Chrysiptera glauca	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Grey demoiselle	TRUE
Abudefduf caroli	synonym	5110	Dascyllus aruanus	Teleostei	Ovalentaria/misc	Pomacentridae	Dascyllus	Whitetail dascyllus	TRUE
Abudefduf caudobimaculatus	synonym	6630	Abudefduf vaigiensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Indo-Pacific sergeant	TRUE
Abudefduf cingulum	synonym	5713	Plectroglyphidodon leucozonus	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Singlebar devil	TRUE
Abudefduf clarki	synonym	5686	Abudefduf notatus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Yellowtail sergeant	TRUE
Abudefduf coelestinus	synonym	5688	Abudefduf sexfasciatus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Scissortail sergeant	TRUE
Abudefduf corneyi	synonym	5713	Plectroglyphidodon leucozonus	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Singlebar devil	TRUE
Abudefduf cyaneus	synonym	5695	Chrysiptera cyanea	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Sapphire devil	TRUE
Abudefduf dasygenys	synonym	11860	Chromis dasygenys	Teleostei	Ovalentaria/misc	Pomacentridae	Chromis	Blue-spotted chromis	TRUE
Abudefduf dicki	synonym	5709	Plectroglyphidodon dickii	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Blackbar devil	TRUE
Abudefduf dickii	synonym	5709	Plectroglyphidodon dickii	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Blackbar devil	TRUE
Abudefduf fallax	synonym	22826	Neopomacentrus fallax	Teleostei	Ovalentaria/misc	Pomacentridae	Neopomacentrus	Violet damsel	TRUE
Abudefduf florulentus	synonym	5712	Stegastes lacrymatus	Teleostei	Ovalentaria/misc	Pomacentridae	Stegastes	Whitespotted devil	TRUE
Abudefduf fuliginosus	synonym	12460	Neopomacentrus fuliginosus	Teleostei	Ovalentaria/misc	Pomacentridae	Neopomacentrus	African demoiselle	TRUE
Abudefduf glaucus	synonym	5696	Chrysiptera glauca	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Grey demoiselle	TRUE
Abudefduf hoefleri	accepted name	11811	Abudefduf hoefleri	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	African sergeant	TRUE
Abudefduf imparipennis	synonym	5710	Plectroglyphidodon imparipennis	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Brighteye damselfish	TRUE
Abudefduf iwasakii	synonym	5710	Plectroglyphidodon imparipennis	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Brighteye damselfish	TRUE
Abudefduf lacrymatus	synonym	5712	Stegastes lacrymatus	Teleostei	Ovalentaria/misc	Pomacentridae	Stegastes	Whitespotted devil	TRUE
Abudefduf leucogaster	synonym	5691	Amblyglyphidodon leucogaster	Teleostei	Ovalentaria/misc	Pomacentridae	Amblyglyphidodon	Yellowbelly damselfish	TRUE
Abudefduf leucozona	synonym	5713	Plectroglyphidodon leucozonus	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Singlebar devil	TRUE
Abudefduf leucozonus	synonym	5713	Plectroglyphidodon leucozonus	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Singlebar devil	TRUE
Abudefduf luridus	synonym	11820	Similiparma lurida	Teleostei	Ovalentaria/misc	Pomacentridae	Similiparma	Canary damsel	TRUE
Abudefduf margariteus	accepted name	11823	Abudefduf margariteus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Pearly sergeant	TRUE
Abudefduf marginatus	synonym	1119	Abudefduf saxatilis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Sergeant-major	TRUE
Abudefduf melanopselion	synonym	5487	Hemiglyphidodon plagiometopon	Teleostei	Ovalentaria/misc	Pomacentridae	Hemiglyphidodon	Lagoon damselfish	TRUE
Abudefduf melanopus	synonym	5707	Neoglyphidodon melas	Teleostei	Ovalentaria/misc	Pomacentridae	Neoglyphidodon	Bowtie damselfish	TRUE
Abudefduf melanozonatus	synonym	5713	Plectroglyphidodon leucozonus	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Singlebar devil	TRUE
Abudefduf melas	synonym	5707	Neoglyphidodon melas	Teleostei	Ovalentaria/misc	Pomacentridae	Neoglyphidodon	Bowtie damselfish	TRUE
Abudefduf miyakoe	synonym	5697	Chrysiptera brownriggii	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Surge damselfish	TRUE
Abudefduf multifasciatus	synonym	5687	Abudefduf septemfasciatus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Banded sergeant	TRUE
Abudefduf natalensis	accepted name	11825	Abudefduf natalensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Natal sergeant	TRUE
Abudefduf notatus	accepted name	5686	Abudefduf notatus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Yellowtail sergeant	TRUE
Abudefduf paee	synonym	5687	Abudefduf septemfasciatus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Banded sergeant	TRUE
Abudefduf phoenixensis	synonym	5714	Plectroglyphidodon phoenixensis	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Phoenix devil	TRUE
Abudefduf quinquelineatus	synonym	6630	Abudefduf vaigiensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Indo-Pacific sergeant	TRUE
Abudefduf quinquilineatus	synonym	6630	Abudefduf vaigiensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Indo-Pacific sergeant	TRUE
Abudefduf rhomaleus	synonym	5707	Neoglyphidodon melas	Teleostei	Ovalentaria/misc	Pomacentridae	Neoglyphidodon	Bowtie damselfish	TRUE
Abudefduf richardsoni	synonym	6923	Pomachromis richardsoni	Teleostei	Ovalentaria/misc	Pomacentridae	Pomachromis	Richardson's reef-damsel	TRUE
Abudefduf sapphirus	synonym	5695	Chrysiptera cyanea	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Sapphire devil	TRUE
Abudefduf saxatilis	accepted name	1119	Abudefduf saxatilis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Sergeant-major	TRUE
Abudefduf saxiatilis	synonym	1119	Abudefduf saxatilis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Sergeant-major	TRUE
Abudefduf septemfasciatus	accepted name	5687	Abudefduf septemfasciatus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Banded sergeant	TRUE
Abudefduf sexatilis	synonym	1119	Abudefduf saxatilis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Sergeant-major	TRUE
Abudefduf sexfasciatus	accepted name	5688	Abudefduf sexfasciatus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Scissortail sergeant	TRUE
Abudefduf sordidus	accepted name	5689	Abudefduf sordidus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Blackspot sergeant	TRUE
Abudefduf sparoides	accepted name	8018	Abudefduf sparoides	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	False-eye sergeant	TRUE
Abudefduf tamaii	synonym	4352	Stegastes nigricans	Teleostei	Ovalentaria/misc	Pomacentridae	Stegastes	Dusky farmerfish	TRUE
Abudefduf taurus	accepted name	1120	Abudefduf taurus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Night sergeant	TRUE
Abudefduf tridentatus	synonym	5689	Abudefduf sordidus	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Blackspot sergeant	TRUE
Abudefduf tsamaii	synonym	4352	Stegastes nigricans	Teleostei	Ovalentaria/misc	Pomacentridae	Stegastes	Dusky farmerfish	TRUE
Abudefduf turchesius	synonym	5695	Chrysiptera cyanea	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Sapphire devil	TRUE
Abudefduf uniocellatus	synonym	5695	Chrysiptera cyanea	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Sapphire devil	TRUE
Abudefduf vaigensis	synonym	6630	Abudefduf vaigiensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Indo-Pacific sergeant	TRUE
Abudefduf vaigiensis	accepted name	6630	Abudefduf vaigiensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Indo-Pacific sergeant	TRUE
Abudefduf vargensis	synonym	6630	Abudefduf vaigiensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Indo-Pacific sergeant	TRUE
Abudefduf xanthonotus	synonym	5707	Neoglyphidodon melas	Teleostei	Ovalentaria/misc	Pomacentridae	Neoglyphidodon	Bowtie damselfish	TRUE
Abudefduf xanthozona	synonym	5697	Chrysiptera brownriggii	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Surge damselfish	TRUE
Abudefduf xanthozonus	synonym	5697	Chrysiptera brownriggii	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Surge damselfish	TRUE
Abudefduf yamashinai	synonym	5713	Plectroglyphidodon leucozonus	Teleostei	Ovalentaria/misc	Pomacentridae	Plectroglyphidodon	Singlebar devil	TRUE
Abudefduf zonatus	synonym	5693	Chrysiptera biocellata	Teleostei	Ovalentaria/misc	Pomacentridae	Chrysiptera	Twinspot damselfish	TRUE
Abudefdus vaigiensis	synonym	6630	Abudefduf vaigiensis	Teleostei	Ovalentaria/misc	Pomacentridae	Abudefduf	Indo-Pacific sergeant	TRUE
Acanthanectes hystrix	accepted name	56310	Acanthanectes hystrix	Teleostei	Blenniiformes	Tripterygiidae	Acanthanectes	NA	TRUE
Acanthanectes rufus	accepted name	56311	Acanthanectes rufus	Teleostei	Blenniiformes	Tripterygiidae	Acanthanectes	NA	TRUE
Acanthias americanus	synonym	139	Squalus acanthias	Elasmobranchii	Squaliformes	Squalidae	Squalus	Picked dogfish	TRUE
Acanthias antiguorum	synonym	139	Squalus acanthias	Elasmobranchii	Squaliformes	Squalidae	Squalus	Picked dogfish	TRUE
Acanthias blainville	synonym	708	Squalus blainville	Elasmobranchii	Squaliformes	Squalidae	Squalus	Longnose spurdog	TRUE
Acanthias commun	synonym	139	Squalus acanthias	Elasmobranchii	Squaliformes	Squalidae	Squalus	Picked dogfish	TRUE
Acanthias lebruni	synonym	139	Squalus acanthias	Elasmobranchii	Squaliformes	Squalidae	Squalus	Picked dogfish	TRUE
Acanthias linnei	synonym	139	Squalus acanthias	Elasmobranchii	Squaliformes	Squalidae	Squalus	Picked dogfish	TRUE
Acanthias megalops	synonym	711	Squalus megalops	Elasmobranchii	Squaliformes	Squalidae	Squalus	Shortnose spurdog	TRUE
Acanthias nigrescens	synonym	655	Centrophorus uyato	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Little gulper shark	TRUE
Acanthias uyatus	synonym	655	Centrophorus uyato	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Little gulper shark	TRUE
Acanthias vulgaris	synonym	139	Squalus acanthias	Elasmobranchii	Squaliformes	Squalidae	Squalus	Picked dogfish	TRUE
Acanthicus blainvillii	synonym	708	Squalus blainville	Elasmobranchii	Squaliformes	Squalidae	Squalus	Longnose spurdog	TRUE
Acanthidium aciculatum	synonym	670	Deania calceus	Elasmobranchii	Squaliformes	Centrophoridae	Deania	Birdbeak dogfish	TRUE
Acanthidium calceus	synonym	670	Deania calceus	Elasmobranchii	Squaliformes	Centrophoridae	Deania	Birdbeak dogfish	TRUE
Acanthidium molleri	synonym	23928	Etmopterus molleri	Elasmobranchii	Squaliformes	Etmopteridae	Etmopterus	Mollers lantern shark	TRUE
Acanthidium natalense	synonym	672	Deania profundorum	Elasmobranchii	Squaliformes	Centrophoridae	Deania	Arrowhead dogfish	TRUE
Acanthidium pusillum	synonym	684	Etmopterus pusillus	Elasmobranchii	Squaliformes	Etmopteridae	Etmopterus	Smooth lanternshark	TRUE
Acanthidium quadrispinosum	synonym	673	Deania quadrispinosa	Elasmobranchii	Squaliformes	Centrophoridae	Deania	Longsnout dogfish	TRUE
Acanthidium rostratum	synonym	670	Deania calceus	Elasmobranchii	Squaliformes	Centrophoridae	Deania	Birdbeak dogfish	TRUE
Acanthistius joanae	accepted name	65330	Acanthistius joanae	Teleostei	Perciformes/Serranoidei	Anthiadidae	Acanthistius	Scalyjaw koester	TRUE
Acanthistius leopardinus	synonym	4826	Plectropomus leopardus	Teleostei	Perciformes/Serranoidei	Epinephelidae	Plectropomus	Leopard coralgrouper	TRUE
Acanthistius sebastoides	accepted name	7920	Acanthistius sebastoides	Teleostei	Perciformes/Serranoidei	Anthiadidae	Acanthistius	Koester	TRUE
Acanthobatis marmoratus	synonym	7957	Anacanthobatis marmorata	Elasmobranchii	Rajiformes	Anacanthobatidae	Anacanthobatis	Spotted legskate	TRUE
Acanthobatis ori	synonym	7958	Indobatis ori	Elasmobranchii	Rajiformes	Anacanthobatidae	Indobatis	Black legskate	TRUE
Acanthobrama callensis	synonym	11612	Pseudophoxinus callensis	Teleostei	Cypriniformes	Leuciscidae	Pseudophoxinus	NA	TRUE
Acanthocepola indica	accepted name	9216	Acanthocepola indica	Teleostei	Eupercaria/misc	Cepolidae	Acanthocepola	NA	TRUE
Acanthochaenus luetkenii	accepted name	9046	Acanthochaenus luetkenii	Teleostei	Beryciformes	Stephanoberycidae	Acanthochaenus	Pricklefish	TRUE
Acanthochaenus lutkeni	synonym	9046	Acanthochaenus luetkenii	Teleostei	Beryciformes	Stephanoberycidae	Acanthochaenus	Pricklefish	TRUE
Acanthochaenus lutkenii	synonym	9046	Acanthochaenus luetkenii	Teleostei	Beryciformes	Stephanoberycidae	Acanthochaenus	Pricklefish	TRUE
Acanthochaetodon imperator	synonym	6504	Pomacanthus imperator	Teleostei	Acanthuriformes	Pomacanthidae	Pomacanthus	Emperor angelfish	TRUE
Acanthochaetodon nicobariensis	synonym	6504	Pomacanthus imperator	Teleostei	Acanthuriformes	Pomacanthidae	Pomacanthus	Emperor angelfish	TRUE
Acanthochromis seminudus	synonym	8616	Lamprologus congoensis	Teleostei	Cichliformes	Cichlidae	Lamprologus	NA	TRUE
Acanthocleithron chapini	accepted name	9474	Acanthocleithron chapini	Teleostei	Siluriformes	Mochokidae	Acanthocleithron	NA	TRUE
Acanthoclinus indicus	synonym	8004	Acanthoplesiops indicus	Teleostei	Ovalentaria/misc	Plesiopidae	Acanthoplesiops	Scottie	TRUE
Acanthocybium forbesi	synonym	89	Acanthocybium solandri	Teleostei	Scombriformes	Scombridae	Acanthocybium	Wahoo	TRUE
Acanthocybium petus	synonym	89	Acanthocybium solandri	Teleostei	Scombriformes	Scombridae	Acanthocybium	Wahoo	TRUE
Acanthocybium sara	synonym	89	Acanthocybium solandri	Teleostei	Scombriformes	Scombridae	Acanthocybium	Wahoo	TRUE
Acanthocybium solanderi	synonym	89	Acanthocybium solandri	Teleostei	Scombriformes	Scombridae	Acanthocybium	Wahoo	TRUE
Acanthocybium solandri	accepted name	89	Acanthocybium solandri	Teleostei	Scombriformes	Scombridae	Acanthocybium	Wahoo	TRUE
Acanthocybrium solandri	synonym	89	Acanthocybium solandri	Teleostei	Scombriformes	Scombridae	Acanthocybium	Wahoo	TRUE
Acanthognathus caulleryi	synonym	5972	Dunckerocampus dactyliophorus	Teleostei	Syngnathiformes	Syngnathidae	Dunckerocampus	Ringed pipefish	TRUE
Acantholabrus couchi	synonym	7633	Acantholabrus palloni	Teleostei	Eupercaria/misc	Labridae	Acantholabrus	Scale-rayed wrasse	TRUE
Acantholabrus couchii	synonym	7633	Acantholabrus palloni	Teleostei	Eupercaria/misc	Labridae	Acantholabrus	Scale-rayed wrasse	TRUE
Acantholabrus imbricatus	synonym	7633	Acantholabrus palloni	Teleostei	Eupercaria/misc	Labridae	Acantholabrus	Scale-rayed wrasse	TRUE
Acantholabrus palloni	accepted name	7633	Acantholabrus palloni	Teleostei	Eupercaria/misc	Labridae	Acantholabrus	Scale-rayed wrasse	TRUE
Acantholabrus romeritus	synonym	22498	Symphodus trutta	Teleostei	Eupercaria/misc	Labridae	Symphodus	Emerald wrasse	TRUE
Acantholabrus romerus	synonym	22498	Symphodus trutta	Teleostei	Eupercaria/misc	Labridae	Symphodus	Emerald wrasse	TRUE
Acantholabrus viridis	synonym	22498	Symphodus trutta	Teleostei	Eupercaria/misc	Labridae	Symphodus	Emerald wrasse	TRUE
Acantholatris monodactylus	synonym	14282	Nemadactylus monodactylus	Teleostei	Centrarchiformes	Latridae	Nemadactylus	St. Paul's fingerfin	TRUE
Acanthonosus nasus	synonym	2661	Notacanthus chemnitzii	Teleostei	Notacanthiformes	Notacanthidae	Notacanthus	Snubnosed spiny eel	TRUE
Acanthopagrus berda	accepted name	5526	Acanthopagrus berda	Teleostei	Eupercaria/misc	Sparidae	Acanthopagrus	Goldsilk seabream	TRUE
Acanthopagrus bertha	synonym	5526	Acanthopagrus berda	Teleostei	Eupercaria/misc	Sparidae	Acanthopagrus	Goldsilk seabream	TRUE
Acanthopagrus bifasciatus	accepted name	4543	Acanthopagrus bifasciatus	Teleostei	Eupercaria/misc	Sparidae	Acanthopagrus	Twobar seabream	TRUE
Acanthopagrus calamara	synonym	5526	Acanthopagrus berda	Teleostei	Eupercaria/misc	Sparidae	Acanthopagrus	Goldsilk seabream	TRUE
Acanthopagrus catenula	accepted name	67289	Acanthopagrus catenula	Teleostei	Eupercaria/misc	Sparidae	Acanthopagrus	Bridled seabream	TRUE
Acanthopagrus vagus	accepted name	65558	Acanthopagrus vagus	Teleostei	Eupercaria/misc	Sparidae	Acanthopagrus	Wandering seabream	TRUE
Acanthophacelus guppii	synonym	3228	Poecilia reticulata	Teleostei	Cyprinodontiformes	Poeciliidae	Poecilia	Guppy	TRUE
Acanthophacelus reticulatus	synonym	3228	Poecilia reticulata	Teleostei	Cyprinodontiformes	Poeciliidae	Poecilia	Guppy	TRUE
Acanthoplesiops indicus	accepted name	8004	Acanthoplesiops indicus	Teleostei	Ovalentaria/misc	Plesiopidae	Acanthoplesiops	Scottie	TRUE
Acanthoscybium solanderi	synonym	89	Acanthocybium solandri	Teleostei	Scombriformes	Scombridae	Acanthocybium	Wahoo	TRUE
Acanthostracion guineense	accepted name	23363	Acanthostracion guineense	Teleostei	Tetraodontiformes	Ostraciidae	Acanthostracion	NA	TRUE
Acanthostracion guineensis	synonym	23363	Acanthostracion guineense	Teleostei	Tetraodontiformes	Ostraciidae	Acanthostracion	NA	TRUE
Acanthostracion notacanthus	accepted name	23370	Acanthostracion notacanthus	Teleostei	Tetraodontiformes	Ostraciidae	Acanthostracion	Island cowfish	TRUE
Acanthostracion quadricornis	accepted name	92	Acanthostracion quadricornis	Teleostei	Tetraodontiformes	Ostraciidae	Acanthostracion	Scrawled cowfish	TRUE
Acanthostracion tricornis	synonym	92	Acanthostracion quadricornis	Teleostei	Tetraodontiformes	Ostraciidae	Acanthostracion	Scrawled cowfish	TRUE
Acanthothrissa palimptera	synonym	4527	Denticeps clupeoides	Teleostei	Clupeiformes	Denticipitidae	Denticeps	Denticle herring	TRUE
Acanthurus aliala	synonym	6011	Acanthurus nigricans	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Whitecheek surgeonfish	TRUE
Acanthurus altivelis	synonym	5951	Zebrasoma scopas	Teleostei	Acanthuriformes	Acanthuridae	Zebrasoma	Twotone tang	TRUE
Acanthurus argenteus	synonym	1262	Ctenochaetus striatus	Teleostei	Acanthuriformes	Acanthuridae	Ctenochaetus	Striated surgeonfish	TRUE
Acanthurus armiger	synonym	4742	Acanthurus pyroferus	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Chocolate surgeonfish	TRUE
Acanthurus atramentatus	synonym	4738	Acanthurus nigroris	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Bluelined surgeonfish	TRUE
Acanthurus auranticavus	accepted name	4748	Acanthurus auranticavus	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Orange-socket surgeonfish	TRUE
Acanthurus bariene	accepted name	4307	Acanthurus bariene	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Black-spot surgeonfish	TRUE
Acanthurus barine	synonym	4307	Acanthurus bariene	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Black-spot surgeonfish	TRUE
Acanthurus bicommatus	synonym	1259	Acanthurus tennentii	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Doubleband surgeonfish	TRUE
Acanthurus bipunctatus	synonym	4738	Acanthurus nigroris	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Bluelined surgeonfish	TRUE
Acanthurus bleekeri	synonym	1255	Acanthurus mata	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Elongate surgeonfish	TRUE
Acanthurus blochii	accepted name	4750	Acanthurus blochii	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Ringtail surgeonfish	TRUE
Acanthurus carinatus	synonym	4740	Acanthurus sohal	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Sohal surgeonfish	TRUE
Acanthurus celebicus	synonym	4742	Acanthurus pyroferus	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Chocolate surgeonfish	TRUE
Acanthurus chirurgicus	synonym	943	Acanthurus chirurgus	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Doctorfish	TRUE
Acanthurus chirurgus	accepted name	943	Acanthurus chirurgus	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Doctorfish	TRUE
Acanthurus chrysosoma	synonym	4744	Acanthurus olivaceus	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Orangespot surgeonfish	TRUE
Acanthurus crestonis	synonym	1261	Acanthurus xanthopterus	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Yellowfin surgeonfish	TRUE
Acanthurus ctenodon	synonym	1262	Ctenochaetus striatus	Teleostei	Acanthuriformes	Acanthuridae	Ctenochaetus	Striated surgeonfish	TRUE
Acanthurus delisiani	synonym	1257	Acanthurus leucosternon	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	Powderblue surgeonfish	TRUE
