"speciesName","status","fbSpecCode","validName","class","order","family","genus","commonName","commonSpecies","Fresh","Brack"
"Dormitator lebretonis","accepted name",10008,"Dormitator lebretonis","Teleostei","Gobiiformes","Eleotridae","Dormitator",NA,TRUE,1,1
"Elops lacerta","accepted name",4959,"Elops lacerta","Teleostei","Elopiformes","Elopidae","Elops","West African ladyfish",TRUE,1,1
"Coilia dussumieri","accepted name",625,"Coilia dussumieri","Teleostei","Clupeiformes","Engraulidae","Coilia","Goldspotted grenadier anchovy",TRUE,1,1
"Esox lucius","accepted name",258,"Esox lucius","Teleostei","Esociformes","Esocidae","Esox","Northern pike",TRUE,1,1
"Galaxias zebratus","accepted name",11050,"Galaxias zebratus","Teleostei","Galaxiiformes","Galaxiidae","Galaxias","Cape Galaxias",TRUE,1,0
"Gasterosteus aculeatus","accepted name",2420,"Gasterosteus aculeatus","Teleostei","Perciformes/Gasterosteoidei","Gasterosteidae","Gasterosteus","Three-spined stickleback",TRUE,1,1
"Eucinostomus melanopterus","accepted name",1052,"Eucinostomus melanopterus","Teleostei","Eupercaria/misc","Gerreidae","Eucinostomus","Flagfin mojarra",TRUE,1,1
"Acentrogobius caninus","accepted name",4894,"Acentrogobius caninus","Teleostei","Gobiiformes","Gobiidae","Acentrogobius","Tropical sand goby",TRUE,1,1
"Gobio gobio","accepted name",4478,"Gobio gobio","Teleostei","Cypriniformes","Gobionidae","Gobio","Gudgeon",TRUE,1,1
"Gymnarchus niloticus","accepted name",4519,"Gymnarchus niloticus","Teleostei","Osteoglossiformes","Gymnarchidae","Gymnarchus","Aba",TRUE,1,0
"Plectorhinchus gibbosus","accepted name",6366,"Plectorhinchus gibbosus","Teleostei","Eupercaria/misc","Haemulidae","Plectorhinchus","Harry hotlips",TRUE,1,1
"Hyporhamphus capensis","accepted name",7711,"Hyporhamphus capensis","Teleostei","Beloniformes","Hemiramphidae","Hyporhamphus","Cape halfbeak",TRUE,1,1
"Hepsetus cuvieri","accepted name",67377,"Hepsetus cuvieri","Teleostei","Characiformes","Hepsetidae","Hepsetus","Southern African Pike",TRUE,1,0
"Ictalurus punctatus","accepted name",290,"Ictalurus punctatus","Teleostei","Siluriformes","Ictaluridae","Ictalurus","Channel catfish",TRUE,1,0
"Cromeria nilotica","accepted name",5225,"Cromeria nilotica","Teleostei","Gonorynchiformes","Kneriidae","Cromeria","Naked shellear",TRUE,1,0
"Gobitrichinotus arnoulti","accepted name",62106,"Gobitrichinotus arnoulti","Teleostei","Gobiiformes","Kraemeriidae","Gobitrichinotus",NA,TRUE,1,0
"Kuhlia caudavittata","accepted name",9905,"Kuhlia caudavittata","Teleostei","Centrarchiformes","Kuhliidae","Kuhlia",NA,TRUE,1,1
"Lates angustifrons","accepted name",4497,"Lates angustifrons","Teleostei","Carangaria/misc","Latidae","Lates","Tanganyika lates",TRUE,1,0
"Leiognathus ruconius","accepted name",4811,"Deveximentum ruconius","Teleostei","Acanthuriformes","Leiognathidae","Deveximentum","Deep pugnose ponyfish",TRUE,1,1
"Abramis brama","accepted name",268,"Abramis brama","Teleostei","Cypriniformes","Leuciscidae","Abramis","Freshwater bream",TRUE,1,1
"Lutjanus argentimaculatus","accepted name",1407,"Lutjanus argentimaculatus","Teleostei","Eupercaria/misc","Lutjanidae","Lutjanus","Mangrove red snapper",TRUE,1,1
"Malapterurus barbatus","accepted name",62737,"Malapterurus barbatus","Teleostei","Siluriformes","Malapteruridae","Malapterurus",NA,TRUE,1,0
"Mastacembelus albomaculatus","accepted name",10055,"Mastacembelus albomaculatus","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus",NA,TRUE,1,0
"Megalops atlanticus","accepted name",1079,"Megalops atlanticus","Teleostei","Elopiformes","Megalopidae","Megalops","Tarpon",TRUE,1,1
"Parioglossus multiradiatus","accepted name",62192,"Parioglossus multiradiatus","Teleostei","Gobiiformes","Microdesmidae","Parioglossus",NA,TRUE,1,1
"Typhleotris madagascariensis","accepted name",10026,"Typhleotris madagascariensis","Teleostei","Gobiiformes","Milyeringidae","Typhleotris",NA,TRUE,1,0
"Acanthocleithron chapini","accepted name",9474,"Acanthocleithron chapini","Teleostei","Siluriformes","Mochokidae","Acanthocleithron",NA,TRUE,1,0
"Monodactylus argenteus","accepted name",5807,"Monodactylus argenteus","Teleostei","Eupercaria/misc","Monodactylidae","Monodactylus","Silver moony",TRUE,1,1
